Species,CollNum,Sex,SL,HL,BodyDpDor,BodyWDor,BodyWAnal,PredorsalL,PostdorsalL,PostanalL,CaudalPedDp,DspineL,PecspineL,PelspineL,AnalspineL,SnoutEyeL,SnoutMouthL,EyeDiameter,InterorbitalW,HeadW,HeadDp,LateralPl,MedianPl,MidabdominalPl,PredorsalPl,PostdorsalPl,PostanalPl,AbdominalPl,CoalescentPl,PremaxT,DentaryT,DorsalR,PectoralR,PelvicR,AnalR,CaudalR
Farlowella gianetii,MZUSP 95564(I),NA,103.4,24.88,5.25,5.89,5.85,45.3,56.06,53.21,1.14,14.07,11.91,7.89,12.9,20.97,13.01,1.84,4.67,7.57,5.8,32,6,9,8,21,21,7,13,24,20,i+6,i+6,i+4,i+5,i+10+i
Farlowella gianetii,MZUSP 95564(II) HOLOTYPE,NA,115.6,25.57,6.1,6.54,6.53,49.53,61.42,59.09,1.39,17.05,12.57,8.47,14.84,21.21,12.46,1.87,4.96,8.75,5.89,33,9,9,9,20,20,9,15,27,23,i+6,i+6,i+4,i+5,i+10+i
Farlowella gianetii,MZUSP 95564(III),NA,90.58,19.99,4.61,4.77,4.71,36.84,49.07,47.22,0.97,13.51,9.52,6.87,10.99,16.45,9.32,1.47,4.08,6.91,4.71,33,6,7,8,20,20,7,14,21,21,i+6,i+5,i+4,i+5,i+10+i
Farlowella gianetii,MZUSP 95564(IV),NA,72.61,16.48,3.45,3.85,3.75,30.65,39.28,38.27,0.95,9.78,7.47,5,9.92,13.62,7.59,1.37,3.02,5.39,3.84,33,8,9,8,21,21,9,14,20,18,i+6,i+6,i+4,i+5,i+10+i
Farlowella gianetii,MZUSP 95564(V),NA,69.21,15.45,3.28,3.75,3.69,29.25,37.17,36.12,0.81,9.36,7.21,4.82,8.92,12.97,7.1,1.49,3.4,5.19,3.5,33,8,8,8,20,20,7,15,20,20,i+6,i+6,i+4,i+5,i+10+i
Farlowella gianetii,MZUSP 95564(VI),NA,71.75,16.07,3.39,3.7,3.6,30.6,37.11,36.62,1.09,9.72,7.06,4.56,9.04,13.42,7.46,1.58,3.17,5.36,3.85,31,7,9,8,20,20,8,14,20,18,i+6,i+6,i+4,i+5,i+10+i
Farlowella gianetii,MZUSP 95564(VII),NA,68.28,16.77,3.47,3.62,3.47,30.35,34.82,34.17,0.82,9.87,7.76,5.09,9.41,13.98,8.06,1.47,3.34,5.02,3.71,32,8,6,8,19,19,6,14,22,19,i+6,i+6,i+4,i+5,i+10+i
Farlowella gianetii,MZUSP 95564(VIII),NA,63.42,14.58,3.14,3.41,3.48,26.92,30.66,32.36,0.86,8.41,6.92,4.38,8.14,11.93,7.54,1.57,2.8,4.81,3.4,32,8,7,8,19,19,6,14,22,19,i+6,i+6,i+4,i+5,i+10+i
Farlowella gianetii,MZUSP 87010,NA,86,20,4.34,4.37,4.36,36.22,45.78,45.55,0.9,11.54,8.72,6.25,10.88,17.04,10.88,1.56,3.69,6.03,3.9,33,7,7,8,20,20,7,15,25,19,i+6,i+6,i+4/i+5,i+5,i+10+i
Farlowella gianetii,MZUSP 98187,NA,61.74,13.65,2.8,2.69,2.37,25.77,31.9,33.01,0.7,7.41,6.65,4.41,7.82,11.29,6.7,1.28,2.83,4.25,3.22,33,8,7,9,20,19,7,16,19,18,i+6,i+6,i+4,i+5,i+10+i
Farlowella gianetii,MZUSP 97022(I),NA,116.36,23.64,5.96,6.68,6.93,47.07,63.45,61.23,1.35,15.93,13.14,8.76,14.3,19.28,11.14,1.67,4.74,8.65,5.64,32,7,9,8,21,21,6,13,23,22,i+6,i+6,i+4,i+5,i+10+i
Farlowella gianetii,MZUSP 97022(II),NA,95.42,21.54,5.14,5.54,5.34,41.39,49.44,49.4,1.26,12.58,9.78,7.22,13.35,18.61,11.25,1.91,3.81,7.28,4.84,32,7,7,8,21,21,7,13,24,20,i+6,i+6,i+4,i+5,i+10+i
Farlowella gianetii,MZUSP 97022(III),NA,108.38,23.41,5.63,6.14,5.89,45.53,58.79,57.37,1.41,14.91,12.09,8.15,13.77,19.68,11.06,1.93,4.82,8.35,5.01,32,7,8,8,20,20,7,13,28,22,i+6,i+6,i+4/i+5,i+5,i+10+i
Farlowella gianetii,MZUSP 97022(IV),NA,121.05,26.79,5.91,6.95,7.04,51.75,62.24,63.17,1.41,16.77,15.26,9.44,15.98,22.44,13.32,2.16,5.34,8.76,6.13,32,7,9,9,21,21,7,13,24,20,i+6,i+6,i+4,i+5,i+10+i
Farlowella gianetii,MZUSP 99065(I),NA,90.39,19.91,4.62,5.18,5.04,37.01,48.01,47.49,1.23,12.7,9.74,6.43,11.75,16.61,10.13,1.91,4.2,6.69,4.19,32,7,7,8,21,21,5,13,21,19,i+6,i+6,i+4,i+5,i+10+i
Farlowella gianetii,MZUSP 99065(II),NA,82.76,18.82,3.99,4.17,4.18,35.52,42.14,42.99,0.93,10.8,8.72,5.62,9.44,15.74,9.57,1.72,3.57,6.1,3.54,32,6,7,8,20,20,6,13,21,19,i+6,i+6,i+4,i+5,i+10+i
Farlowella gianetii,MZUSP 97056(I),NA,108.58,23.54,4.96,6.09,5.94,50.21,54.16,57.86,1.55,13.7,11.3,7.16,9.06,19.26,11.92,2.18,4.99,7.83,5.18,32,6,7,8,20,20,5,13,24,19,i+6,i+6,i+4,i+5,i+10+i
Farlowella gianetii,MZUSP 97056(II),NA,79.13,18.66,3.81,4.21,4.12,33.61,41.72,40.67,0.95,10.82,8.34,5.77,10.28,15.97,9.96,1.66,3.54,6.04,3.98,33,6,7,8,20,20,7,14,23,22,i+6,i+5,i+4,i+5,i+10+i
Farlowella jauruensis,MZUSP 59485,NA,77.53,16.84,4.2,4.9,4.9,31.73,42.46,39.7,1.11,12.26,10.79,6.07,11.34,13.38,7.06,1.92,3.9,6.68,4.49,31,7,9,8,19,20,8,14,28,26,i+6,i+6,i+5,i+5,i+12+i
Farlowella jauruensis,MZUSP 115560,NA,83.49,19.81,4.48,4.98,4.52,35.72,43.42,42.94,1.07,11.83,9.74,5.55,10.99,15.83,8.98,1.98,4.37,7.02,4.51,32,8,7,8,20,20,7,14,29,26,i+6,i+6,i+5,i+5,i+12+i
Farlowella jauruensis,MZUSP 59457(I),NA,56.91,13.61,2.63,2.74,2.78,25.84,28.88,28.46,0.88,7.5,6.06,4.15,7.74,10.68,5.85,1.43,2.71,4.15,3.1,33,NA,9,8,19,19,7,14,18,15,i+6,i+6,i+5,i+5,i+11+i
Farlowella jauruensis,MZUSP 59457(II),NA,59.66,14.41,2.7,2.96,2.91,27.69,30.33,29.66,0.72,8.8,5.81,3.92,7.5,11.31,6.04,1.65,2.84,4.05,3.04,30,NA,10,8,20,19,7,13,20,20,i+6,i+6,i+5,i+5,i+11+i
